,shifted_stimulusID,response_category
1407,119.0,1
1408,147.0,1
1409,47.0,2
1410,24.0,1
1411,37.0,1
1412,43.0,2
1413,39.0,2
1414,114.0,3
1415,105.0,3
1416,86.0,3
1417,42.0,2
1418,58.0,2
1419,143.0,1
1420,49.0,2
1421,65.0,2
1422,133.0,3
1423,19.0,1
1424,62.0,2
1425,69.0,2
1426,1.0,1
1427,32.0,2
1428,117.0,1
1429,36.0,2
1430,5.0,1
1431,38.0,2
1432,8.0,1
1433,73.0,2
1434,91.0,3
1435,41.0,2
1436,132.0,3
1437,67.0,3
1438,50.0,2
1439,53.0,2
1440,18.0,1
1441,82.0,3
1442,138.0,1
1443,81.0,3
1444,137.0,1
1445,59.0,2
1446,122.0,3
1447,2.0,1
1448,109.0,3
1449,30.0,1
1450,134.0,1
1451,127.0,1
1452,100.0,3
1453,56.0,2
1454,48.0,2
1455,77.0,2
1456,108.0,3
1457,92.0,3
1458,116.0,3
1459,124.0,3
1460,142.0,1
1461,93.0,3
1462,118.0,3
1463,103.0,3
1464,55.0,2
1465,7.0,1
1466,78.0,3
1467,106.0,3
1468,66.0,2
1469,28.0,2
1470,30.0,2
1471,80.0,3
1472,41.0,2
1473,122.0,1
1474,7.0,1
1475,63.0,2
1476,53.0,2
1477,25.0,1
1478,4.0,1
1479,65.0,3
1480,119.0,1
1481,27.0,2
1482,40.0,2
1483,67.0,2
1484,114.0,3
1485,32.0,2
1486,38.0,2
1487,126.0,1
1488,93.0,3
1489,3.0,1
1490,19.0,1
1491,146.0,1
1492,42.0,2
1493,95.0,3
1494,20.0,2
1495,74.0,3
1496,115.0,3
1497,105.0,3
1498,61.0,2
1499,141.0,1
1500,6.0,1
1501,88.0,3
1502,132.0,1
1503,85.0,3
1504,104.0,3
1505,145.0,1
1506,125.0,3
1507,16.0,1
1508,10.0,1
1509,116.0,3
1510,106.0,3
1511,117.0,1
1512,136.0,3
1513,39.0,2
1514,102.0,3
1515,73.0,2
1516,35.0,2
1517,45.0,2
1518,124.0,1
1519,15.0,1
1520,103.0,3
1521,87.0,3
1522,36.0,2
1523,112.0,3
1524,9.0,1
1525,101.0,3
1526,24.0,2
1527,64.0,2
1528,139.0,1
1529,83.0,3
1530,135.0,1
1531,70.0,2
1532,49.0,2
1533,142.0,1
1534,90.0,3
1535,92.0,3
1536,55.0,2
1537,78.0,3
1538,1.0,1
1539,121.0,3
1540,22.0,2
1541,147.0,1
1542,75.0,3
1543,81.0,3
1544,62.0,3
1545,96.0,3
1546,130.0,1
1547,76.0,3
1548,129.0,1
1549,77.0,3
1550,43.0,2
1551,131.0,1
1552,79.0,3
1553,71.0,3
1554,44.0,3
1555,34.0,2
1556,66.0,3
1557,99.0,3
1558,140.0,1
1559,124.0,3
1560,1.0,1
1561,117.0,3
1562,90.0,3
1563,112.0,3
1564,82.0,3
1565,142.0,1
1566,122.0,3
1567,12.0,2
1568,43.0,2
1569,53.0,2
1570,30.0,2
1571,15.0,1
1572,110.0,3
1573,120.0,3
1574,16.0,1
1575,20.0,2
1576,23.0,1
1577,138.0,1
1578,144.0,1
1579,57.0,2
1580,89.0,3
1581,52.0,2
1582,131.0,1
1583,37.0,2
1584,98.0,3
1585,102.0,3
1586,141.0,1
1587,24.0,1
1588,22.0,1
1589,9.0,1
1590,71.0,2
1591,62.0,2
1592,135.0,1
1593,8.0,1
1594,97.0,3
1595,76.0,2
1596,125.0,1
1597,10.0,1
1598,107.0,3
1599,35.0,2
1600,100.0,3
1601,69.0,2
1602,88.0,3
1603,109.0,3
1604,27.0,2
1605,111.0,3
1606,50.0,2
1607,143.0,1
1608,25.0,1
1609,54.0,2
1610,84.0,3
1611,96.0,3
1612,108.0,3
1613,32.0,2
1614,45.0,2
1615,101.0,3
1616,115.0,3
1617,59.0,2
1618,94.0,3
1619,67.0,2
1620,7.0,1
1621,132.0,1
1622,11.0,1
1623,56.0,2
1624,75.0,3
1625,147.0,1
1626,92.0,3
1627,65.0,2
1628,63.0,2
1629,77.0,3
1630,80.0,3
1631,85.0,3
1632,33.0,2
1633,116.0,3
1634,70.0,2
1635,133.0,3
1636,46.0,2
1637,39.0,2
1638,88.0,3
1639,118.0,3
1640,56.0,2
1641,29.0,1
1642,94.0,3
1643,119.0,3
1644,132.0,1
1645,130.0,1
1646,46.0,2
1647,22.0,2
1648,55.0,2
1649,10.0,2
1650,30.0,2
1651,58.0,2
1652,124.0,3
1653,28.0,2
1654,35.0,2
1655,99.0,3
1656,127.0,3
